structure,structure_id,action,freq,ref_area,value,unit_measure,time_period,obs_value,unit_mult,breaks,coverage,title_ts,obs_status,obs_conf,obs_pre_break
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1983-Q3,7.5483,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1983-Q4,7.0175,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1984-Q1,5.091,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1984-Q2,4.2805,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1984-Q3,4.5453,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1984-Q4,5.3529,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1985-Q1,3.7226,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1985-Q2,3.8179,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1985-Q3,2.2933,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1985-Q4,4.4993,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1986-Q1,7.301,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1986-Q2,9.3375,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1986-Q3,11.6376,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1986-Q4,11.1157,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1987-Q1,11.7424,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1987-Q2,11.9862,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
